FIPS,county,cqr_census_2010_count,july1_2019_pop_est,jan1_2020_pop_est,num_chg_10_19,num_chg_10_20,pct_chg_10_19,pct_chg_10_20
1,Anderson,58458,59025,59120,567,662,1,1.1
3,Andrews,14786,19279,19588,4493,4802,30.4,32.5
5,Angelina,86771,90989,90669,4218,3898,4.9,4.5
7,Aransas,23158,23710,23649,552,491,2.4,2.1
9,Archer,9054,9228,9135,174,81,1.9,0.9
11,Armstrong,1901,2001,2028,100,127,5.3,6.7
13,Atascosa,44911,50898,51233,5987,6322,13.3,14.1
15,Austin,28417,32067,32344,3650,3927,12.8,13.8
17,Bailey,7165,7113,7082,-52,-83,-0.7,-1.2
19,Bandera,20485,23129,23360,2644,2875,12.9,14
21,Bastrop,74171,89564,90262,15393,16091,20.8,21.7
23,Baylor,3726,3751,3754,25,28,0.7,0.8
25,Bee,31861,33471,33571,1610,1710,5.1,5.4
27,Bell,310235,359255,362093,49020,51858,15.8,16.7
29,Bexar,1714773,1997417,2006193,282644,291420,16.5,17
31,Blanco,10497,12159,12365,1662,1868,15.8,17.8
33,Borden,641,680,686,39,45,6.1,7
35,Bosque,18212,19062,19146,850,934,4.7,5.1
37,Bowie,92565,96380,95897,3815,3332,4.1,3.6
39,Brazoria,313166,380439,382874,67273,69708,21.5,22.3
41,Brazos,194851,230789,233071,35938,38220,18.4,19.6
43,Brewster,9232,9092,9055,-140,-177,-1.5,-1.9
45,Briscoe,1637,1572,1599,-65,-38,-4,-2.3
47,Brooks,7223,7115,7060,-108,-163,-1.5,-2.3
49,Brown,38106,38993,38874,887,768,2.3,2
51,Burleson,17187,18373,18361,1186,1174,6.9,6.8
53,Burnet,42750,48716,49225,5966,6475,14,15.1
55,Caldwell,38066,43199,43501,5133,5435,13.5,14.3
57,Calhoun,21381,22028,22058,647,677,3,3.2
59,Callahan,13544,14070,14027,526,483,3.9,3.6
61,Cameron,406220,426210,426144,19990,19924,4.9,4.9
63,Camp,12401,12914,12936,513,535,4.1,4.3
65,Carson,6182,5951,5875,-231,-307,-3.7,-5
67,Cass,30464,30451,30243,-13,-221,0,-0.7
69,Castro,8062,7380,7260,-682,-802,-8.5,-9.9
71,Chambers,35096,44298,44944,9202,9848,26.2,28.1
73,Cherokee,50845,53539,53558,2694,2713,5.3,5.3
75,Childress,7041,7038,7052,-3,11,0,0.2
77,Clay,10752,10351,10317,-401,-435,-3.7,-4
79,Cochran,3127,2904,2890,-223,-237,-7.1,-7.6
81,Coke,3320,3390,3400,70,80,2.1,2.4
83,Coleman,8895,8191,8041,-704,-854,-7.9,-9.6
85,Collin,782341,1033046,1047901,250705,265560,32,33.9
87,Collingsworth,3057,2853,2802,-204,-255,-6.7,-8.3
89,Colorado,20874,22283,22566,1409,1692,6.8,8.1
91,Comal,108472,156317,161328,47845,52856,44.1,48.7
93,Comanche,13974,13878,13848,-96,-126,-0.7,-0.9
95,Concho,4087,2716,2715,-1371,-1372,-33.5,-33.6
97,Cooke,38437,40477,40685,2040,2248,5.3,5.8
99,Coryell,75388,75137,75657,-251,269,-0.3,0.4
101,Cottle,1505,1354,1346,-151,-159,-10,-10.6
103,Crane,4375,4678,4670,303,295,6.9,6.7
